PlantSoon URL,Common Name,Scientific Name,
https://experience.plantsoon.com/explore/myl7ywsq7a,Trident Maple,Acer buergerianum,
https://experience.plantsoon.com/explore/5wspkhfaj4,Box Elder,Acer negundo,
https://experience.plantsoon.com/explore/obqzll6imk,Japanese Maple,Acer palmatum,
https://experience.plantsoon.com/explore/m247fisgfp,Norway Maple,Acer platanoides,
https://experience.plantsoon.com/explore/qx72f4bebu,Red Maple,Acer rubrum,
https://experience.plantsoon.com/explore/kl1o5uy63f,Sugar Maple,Acer saccharum,
https://experience.plantsoon.com/explore/e4eoipur45,Yellow Buckeye,Aesculus flava,
https://experience.plantsoon.com/explore/g64svj0dy0,Tree of Heaven,Ailanthus altissima,
https://experience.plantsoon.com/explore/ai7esm4u6v,Mimosa,Albizia julibrissin,
https://experience.plantsoon.com/explore/fwk4aysba2,Serviceberry,Amelanchier canadensis,
https://experience.plantsoon.com/explore/fgw8j0ruwq,Devil’s Walking Stick,Aralia spinosa,
https://experience.plantsoon.com/explore/73e7ppmf5d,Horseradish,Armoracia rusticana,
https://experience.plantsoon.com/explore/r5jujilvk0,Red Chokeberry,Aronia arbutifolia,
https://experience.plantsoon.com/explore/kbbigu86n4,Common Milkweed,Asclepias syriaca,
https://experience.plantsoon.com/explore/d4a0fe8vl6,Paw Paw,Asimina triloba,
https://experience.plantsoon.com/explore/3broh05uak,Paw-paw,Asimina triloba,
https://experience.plantsoon.com/explore/q3xqc6a625,Japanese Barberry,Berberis thunbergii,
https://experience.plantsoon.com/explore/yqouu3gi1f,River Birch,Betula nigra,
https://experience.plantsoon.com/explore/gwy3jyzvdf,American Beautyberry,Callicarpa americana,
https://experience.plantsoon.com/explore/de28zds7ru,American Hornbeam,Carpinus caroliniana,
https://experience.plantsoon.com/explore/i0w6endu1r,Pignut Hickory,Carya glabra,
https://experience.plantsoon.com/explore/dz1hsppoqu,Mockernut Hickory,Carya tomentosa,
https://experience.plantsoon.com/explore/ysyyhcgjzz,Chinese Chestnut,Castanea mollissima,
https://experience.plantsoon.com/explore/e66rzongea,Blue Atlas Cedar,Cedrus atlantica,
https://experience.plantsoon.com/explore/rw5hmu7x7b,Deodar Cedar,Cedrus deodara,
https://experience.plantsoon.com/explore/grp47cw12f,Button Bush,Cephalanthus occidentalis,
https://experience.plantsoon.com/explore/a1360igbyr,Eastern Redbud,Cercis canadensis,
https://experience.plantsoon.com/explore/1en7ydqz4u,Eastern Redbud,Cercis canadensis,
https://experience.plantsoon.com/explore/umw882018v,Sawara Cypres,Chamaecyparis pisifera,
https://experience.plantsoon.com/explore/hib8z086wc,Fringe Tree,Chionanthus virginicus,
https://experience.plantsoon.com/explore/c2hpqxuqbu,Summer Sweet Pepperbush,Clethra alnifolia,
https://experience.plantsoon.com/explore/icgi04uc8n,Silky Dogwood,Cornus amomum,
https://experience.plantsoon.com/explore/w7wze7risl,Flowering Dogwood,Cornus florida,
https://experience.plantsoon.com/explore/chn32e7m4o,Kousa Dogwood,Cornus kousa,
https://experience.plantsoon.com/explore/ux68wh2u5f,American Hazelnut,Corylus americana,
https://experience.plantsoon.com/explore/owku1nu8v5,American Hazelnut,Corylus americana,
https://experience.plantsoon.com/explore/qgv3bqrx31,"Autumn Crocus, Saffron",Crocus sativus,
